dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,13,12903.900242964326,24022.48867962863,17576.015466598856,3490,305.82521489971344,136.11870794238587,0.4450866093138267,44.50866093138267
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,14,24022.48867962863,44721.359549995796,32886.017075570024,3628,362.38313120176406,158.15399970653158,0.43642759855307994,43.64275985530799
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,15,44721.359549995796,83255.32074018731,61070.319006933154,3591,427.11584516847677,186.92969550270817,0.43765572646684026,43.76557264668403
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,16,83255.32074018731,154991.89875483367,113693.71897556708,3736,503.7644539614561,228.69671806691437,0.4539754964220091,45.39754964220091
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,17,154991.89875483367,288539.98118144256,210690.58521063018,3631,598.605342880749,267.26468118609824,0.44647894370588886,44.64789437058889
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,18,288539.98118144256,537159.1767636873,392505.3957295843,3659,673.7365400382619,311.39248964851106,0.46218732567306936,46.21873256730694
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,19,537159.1767636873,999999.9999999991,731434.196180409,3603,834.6719400499584,378.4633681129579,0.45342768811696893,45.34276881169689
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,0,3.9999999999999987,7.446582266544274,5.458133440857214,3361,45.62659922642071,31.734579522534432,0.6955280485633496,69.55280485633496
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,1,7.446582266544274,13.862896863102918,10.150635328636897,3273,46.83348609838069,31.176923306910894,0.6656972586114803,66.56972586114803
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,2,13.862896863102918,25.807800485928613,18.893741625918935,3292,50.598724179829894,34.18506760217034,0.6756112561390925,67.56112561390924
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,3,25.807800485928613,48.04497735925719,35.21182009150792,3362,56.687983343248064,35.92526332443751,0.6337368381391972,63.373683813919726
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,4,48.04497735925719,89.44271909999146,65.47458678454436,3467,65.51716181136429,42.10735519171006,0.642691991343348,64.2691991343348
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,5,89.44271909999146,166.51064148037437,122.78384326213734,3411,76.90647903840517,48.22636142905548,0.6270780047669643,62.707800476696434
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,6,166.51064148037437,309.98379750966797,226.82687119488358,3429,86.58850976961213,52.63833496921733,0.6079136262914474,60.79136262914474
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,7,309.98379750966797,577.0799623628864,422.1028173462932,3360,105.19166666666666,60.29070498136961,0.5731509623516085,57.315096235160844
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,8,577.0799623628864,1074.318353527377,785.768743824437,3368,123.19061757719714,69.4586912139341,0.5638310171666113,56.38310171666114
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,9,1074.318353527377,2000.0000000000023,1470.3793433478468,3349,152.72051358614513,76.39220759459118,0.500209210935508,50.0209210935508
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,10,2000.0000000000023,3723.2911332721424,2736.2987901371916,3412,179.97186400937866,89.211602629118,0.49569749760700943,49.569749760700944
